gr,recn,yearStart,yearEnd
NU1242,2,1955,2017
NU2904,1,1980,1980
NU2424,14,1981,2015
NU2327,4,1984,1992
NU1043,5,1985,2013
NZ3278,2,1985,2012
NU1436,1,1986,1986
NZ2797,1,1987,1987
NU1535,1,1987,1987
NU2322,13,1987,1995
NU2801,1,1987,1987
NU2506,1,1987,1987
NU1924,1,1987,1987
NU2409,1,1987,1987
NU2229,1,1988,1988
NU2135,1,1991,1991
NU0933,9,1992,2004
NU2337,1,2011,2011
NU2325,2,2013,2013
NU1241,2,2018,2022
NU0546,1,2023,2023
